,Munich,Zurich,Montpellier,Barcelona,Lyon,Geneva,Colmar,Avignon,Ceret,Mende,Titisee-Neustadt,Mayrhofen,Bozen,Digne,Girona,Rodez,Chamonix,St.Moritz,Genoa,Marseille,Bayonne,Bordeaux,Saint Etienne,Mailand,Paris,Strasbourg
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,8,7,4,4,4,5,4,4
1,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,3,4,4,4,5,4,4
2,5,5,4,4,4,4,4,5,4,4,5,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4
3,4,5,4,4,5,5,5,4,6,4,5,4,5,4,5,5,5,5,4,4,4,4,4,5,5,4
4,6,7,6,6,9,10,7,6,6,10,7,6,6,6,6,7,6,6,9,9,5,6,9,9,7,7
5,6,7,6,6,6,6,6,6,5,7,6,5,6,6,7,7,5,5,6,7,6,6,6,6,6,6
6,5,5,6,9,5,4,6,5,6,6,6,5,5,6,9,7,5,5,6,9,6,6,6,6,6,6
7,6,6,6,6,6,6,6,6,6,6,6,6,5,9,5,7,6,6,6,6,5,6,6,5,9,6
8,9,9,6,6,6,6,9,9,7,6,9,6,9,5,6,7,6,6,6,6,6,6,6,6,6,9
9,9,6,9,6,10,6,6,9,6,9,6,6,7,6,6,9,6,6,6,9,9,9,9,6,6,6
10,6,6,5,6,5,7,6,6,6,6,6,7,7,6,6,6,6,6,6,6,4,5,6,6,6,6
11,5,5,5,6,6,6,6,5,6,6,5,6,6,5,7,6,6,5,7,6,6,6,5,6,6,4
12,6,6,8,9,6,6,7,6,9,6,7,6,7,6,9,6,6,5,6,8,6,6,6,6,6,6
13,6,7,9,9,10,10,7,6,6,9,7,7,7,7,9,10,7,7,9,10,6,9,9,10,6,7
